Nome Instituição,CNPJ Instituição,Município Instituição,UF,Compra,Inserção,Modalidade da Compra,Código BR,Descrição CATMAT,Unidade Fornecimento,Genérico,CNPJ Fornecedor,Fornecedor,CNPJ Fabricante,Fabricante,Qtd Itens Comprados,Preço Unitário,Preço Total
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,300723,"FENOBARBITAL SÓDICO, DOSAGEM:40 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO ORAL - GOTAS",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1200,6.23,7476.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,435628,"MANTA TÉRMICA, MATERIAL:POLIETILENO E CELULOSE, TIPO:AR QUENTE, MODELO:GOMOS DE AR PERFURADO, APLICAÇÃO:PARTE SUPERIOR DO CORPO, CARACTERÍSTICAS ADICIONAIS:DESCARTÁVEL",Unidade,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,120,9.86,1183.2
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,485711,"COLETOR MATERIAL PÉRFURO-CORTANTE, MATERIAL:PAPELÃO, CAPACIDADE TOTAL:90 L, ACESSÓRIOS:ALÇAS RÍGIDAS E TAMPA, COMPONENTES ADICIONAIS:REVESTIMENTO INTERNO EM POLIETILENO ALTA DENSIDADE, TIPO USO:DESCARTÁVEL",Unidade,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1380,7.15,9867.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,483774,"IBUPROFENO, CONCENTRAÇÃO:30 MG/ML, FORMA FARMACEUTICA:SUSPENSÃO ORAL",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,2400,3.26,7824.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,606726,"CATETER BALÃO P/ ANGIOPLASTIA PERIFÉRICA, MATERIAL:SEMI COMPLACENTE, DIÂMETRO BALÃO:CERCA DE 6,5 ATÉ 10 MM, COMPRIMENTO BALÃO:CERCA DE 151 A 200 MM, MARCADOR:RADIOPACO, COMPRIMENTO CATETER:ATÉ 100 CM, COMPATIBILIDADE:P/ FIO GUIA CERCA DE 0,035??, ESTERILIDADE:ESTÉRIL, USO ÚNICO",Unidade,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,9000,0.27,2430.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,268442,"SUXAMETÔNIO CLORETO, DOSAGEM:100 MG, INDICAÇÃO:INJETÁVEL",Frasco-Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,300,35.05,10515.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267195,"DIAZEPAM, DOSAGEM:5 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,48000,0.08,3840.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272833,"QUETIAPINA, DOSAGEM:200 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,360,2.63,946.8
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,602893,"ELETRODO BISTURI ELÉTRICO, APLICAÇÃO:P/ VENTRICULOSTOMIA, TIPO USO:BIPOLAR, MATERIAL PONTEIRA:AÇO INOXIDÁVEL REVESTIDO EM POLÍMERO, DIMENSÃO PONTA:DIÂMETRO CERCA DE 1 MM, HASTE:HASTE RETA, COMPRIMENTO HASTE:CERCA DE 30 CM, ESTERILIDADE:ESTÉRIL, USO ÚNICO",Unidade,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,6,15.92,95.52
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,285966,"LEVETIRACETAM, CONCENTRAÇÃO:500 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,720,4.26,3067.2
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272839,"RISPERIDONA, DOSAGEM:1 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,55200,18.09,998568.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267197,"DIAZEPAM, DOSAGEM:10 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,156000,0.1,15600.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,270907,"PARACETAMOL, APRESENTAÇÃO:ASSOCIADO COM CODEÍNA, DOSAGEM:500MG + 30MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,5760,0.6,3456.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,268129,"LEVOMEPROMAZINA, DOSAGEM:100 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,206400,1.13,233232.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272901,"CLOBAZAM, DOSAGEM:10 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1440,0.73,1051.2
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,284105,"RISPERIDONA, DOSAGEM:3 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,55800,0.16,8928.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272379,"VENLAFAXINA, COMPOSIÇÃO:SAL CLORIDRATO, CONCENTRAÇÃO:75 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,2160,0.9,1944.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,270116,"ETOMIDATO, DOSAGEM:2 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,150,21.38,3207.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267618,"CARBAMAZEPINA, DOSAGEM:200 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,121800,0.34,41412.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,433795,"ATROPINA SULFATO, CONCENTRAÇÃO:2 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1500,0.88,1320.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267517,"ATENOLOL, DOSAGEM:50 MG",Comprimido,S,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,73.856.593/0001-66,"Prati, Donaduzzi & Cia Ltda",63600,0.07,4452.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267657,"FENITOÍNA SÓDICA, DOSAGEM:100 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,21000,0.18,3780.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,268481,"MIDAZOLAM, DOSAGEM:5 MG/ML, APLICAÇÃO:INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1200,4.0,4800.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,272380,"VENLAFAXINA, COMPOSIÇÃO:SAL CLORIDRATO, CONCENTRAÇÃO:150 MG, APRESENTAÇÃO:LIBERAÇÃO CONTROLADA",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,7440,1.92,14284.8
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,270597,"BETAMETASONA, COMPOSIÇÃO:ACETATO, APRESENTAÇÃO:ASSOCIADA COM BETAMETASONA FOSFATO, DOSAGEM:3MG + 3MG/ML, USO:INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,03.485.572/0001-04,Geolab Industria Farmaceutica S/A,120,7.09,850.8
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267194,"DIAZEPAM, DOSAGEM:5 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,8100,1.29,10449.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,468947,"CARBONATO DE LÍTIO, CONCENTRAÇÃO:450 MG, CARACTERÍSTICAS ADICIONAIS:LIBERAÇÃO PROLONGADA",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,9600,0.36,3456.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,292194,"HALOPERIDOL, APRESENTAÇÃO:SAL DECANOATO, CONCENTRAÇÃO:50 MG/ML, TIPO USO:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,3612,9.45,34133.4
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,268949,"AZITROMICINA, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,03.485.572/0001-04,Geolab Industria Farmaceutica S/A,1320,15.58,20565.6
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,273255,"OXCARBAZEPINA, DOSAGEM:60 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,360,53.37,19213.2
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,438982,"SONDA TRATO DIGESTIVO, APLICAÇÃO:ORO OU NASOGÁSTRICA, MODELO:LEVINE, MATERIAL:SILICONE, CALIBRE:Nº 8, TAMANHO:LONGA, COMPRIMENTO:CERCA 100 CM, CONECTOR:CONECTOR PADRÃO C/ TAMPA, COMPONENTES:PONTA DISTAL FECHADA, C/ ORIFÍCIOS LATERAIS, ESTERILIDADE:ESTÉRIL, DESCARTÁVEL, EMBALAGEM:EMBALAGEM INDIVIDUAL",Unidade,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,12,7.85,94.2
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,300988,"PERICIAZINA, DOSAGEM:10 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO ORAL - GOTAS",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,348,25.0,8700.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,269958,"BROMOPRIDA, DOSAGEM:5 MG/ML, APRESENTAÇÃO:INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,5400,2.89,15606.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,268286,"MICONAZOL NITRATO, DOSAGEM:20 MG/G, APRESENTAÇÃO:CREME",Bisnaga,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1620,9.2,14904.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,291771,"ESCITALOPRAM OXALATO, DOSAGEM:20 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,2160,0.72,1555.2
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,273257,"OXCARBAZEPINA, DOSAGEM:300 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1440,1.31,1886.4
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,271621,"OLANZAPINA, DOSAGEM:10 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,5220,2.55,13311.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,273940,"PAROXETINA CLORIDRATO, DOSAGEM:20 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,24000,0.34,8160.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,290848,"ÁCIDO ACETILSALICÍLICO, DOSAGEM:300 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,03.485.572/0001-04,Geolab Industria Farmaceutica S/A,105000,0.07,7350.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267688,"METILDOPA, DOSAGEM:500 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,19200,1.66,31872.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,266863,"METRONIDAZOL, DOSAGEM:40 MG/ML, APRESENTAÇÃO:SUSPENSÃO ORAL",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,2400,9.39,22536.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,281657,"ÁCIDOS GRAXOS ESSENCIAIS, COMPOSIÇÃO:COMPOSTO DOS ÁCIDOS CAPRÍLICO, CÁPRICO, LÁURICO, COMPONENTES:LINOLÊICO, LECITINA DE SOJA, APRESENTAÇÃO:ASSOCIADOS COM VITAMINAS ""A"" E ""E"", TIPO:LOÇÃO OLEOSA",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,1650,5.6,9240.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,268222,"BICARBONATO DE SÓDIO, DOSAGEM:8,4%, USO:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,2400,1.19,2856.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,602639,"PARACETAMOL, COMPOSIÇÃO:ASSOCIADO AO IBUPROFENO, CONCENTRAÇÃO:500 MG + 200 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,66000,0.16,10560.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,270622,"ESCOPOLAMINA BUTILBROMETO, APRESENTAÇÃO:ASSOCIADA COM DIPIRONA SÓDICA, DOSAGEM:6,67MG + 333MG/ML, INDICAÇÃO:SOLUÇÃO ORAL",Frasco,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,4800,1.29,6192.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267769,"PROMETAZINA CLORIDRATO, DOSAGEM:25 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL",Ampola,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,9000,3.4,30600.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,269603,"BISACODIL, DOSAGEM:5 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,2100,0.58,1218.0
Fundo Municipal De Saude,11.120.699/0001-40,Murici,Al,45292,45513.0,Pregão,267635,"CLORPROMAZINA, DOSAGEM:25 MG",Comprimido,N,00.236.193/0001-84,Cirurgica Recife Comercio E Representacoes Ltda,33.109.400/0000-00,Casa Granado Laboratorios Farmacias E Drogarias S A,75000,0.5,37500.0
